;sars_cov2_rna [gc/(d*100000 capita)];median_7d_sars_cov2_rna [gc/(d*100000 capita)];new_cases [1/(d*100000 capita)];median_7d_new_cases [1/(d*100000 capita)];quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}];flow [m^3/d]
2020-10-01;;;4.5378320937500005;;;
2020-10-02;;;13.766065875;;;
2020-10-03;;;6.017861796875001;;;
2020-10-05;;;5.874706140625;;;
2020-10-06;;;4.597659875;;;
2020-10-07;;;10.542150234375;;;
2020-10-08;;;7.58079534375;6.017861796875001;;
2020-10-09;;;10.757756609374999;7.58079534375;;
2020-10-10;;;8.128220093749999;7.58079534375;;
2020-10-11;;;9.267256765625;8.128220093749999;;
2020-10-12;;;15.4061755625;9.267256765625;;
2020-10-13;;;35.286076015625;10.542150234375;;
2020-10-14;;;16.1016549375;10.757756609374999;;
2020-10-15;;;27.22641359375;15.4061755625;;
2020-10-16;;;28.269205703125003;16.1016549375;;
2020-10-17;;;10.35897803125;16.1016549375;;
2020-10-18;;;9.222602078125;16.1016549375;;
2020-10-19;;;48.294363484375;27.22641359375;;
2020-10-20;;;60.781886234375;27.22641359375;;
2020-10-21;;;45.92583375;28.269205703125003;;
2020-10-22;;;42.243270703125006;42.243270703125006;;
2020-10-23;;;71.596772234375;45.92583375;;
2020-10-24;;;11.9298773125;45.92583375;;
2020-10-25;;;15.799252124999997;45.92583375;;
2020-10-26;;;124.365953359375;45.92583375;;
2020-10-27;;;80.22260628125;45.92583375;;
2020-10-28;;;85.550093140625;71.596772234375;;
2020-10-29;;;64.34894021874999;71.596772234375;;
2020-10-30;;;70.28603015625;70.28603015625;;
2020-10-31;15232517055037.729;;26.510351109375005;70.28603015625;Q;22900.0
2020-11-01;;;7.496251609375;70.28603015625;N;
2020-11-02;;;145.067029328125;70.28603015625;N;
2020-11-03;7004967592595.54;;91.06783720312501;70.28603015625;Q;29080.0
2020-11-04;;;78.03764826562501;70.28603015625;N;
2020-11-05;12108339860295.295;;50.78133389062501;70.28603015625;Q;21100.0
2020-11-06;;12108339860295.295;70.92665243750001;70.92665243750001;N;
2020-11-07;;9556653726445.418;14.65030221875;70.92665243750001;N;
2020-11-08;9307098739582.143;9307098739582.143;8.684716453125;70.92665243750001;Q;18030.0
2020-11-09;;9307098739582.143;106.737923046875;70.92665243750001;N;
2020-11-10;6239102962764.484;9307098739582.143;79.820059921875;70.92665243750001;Q;18040.0
2020-11-11;;9307098739582.143;65.53228032812501;65.53228032812501;N;
2020-11-12;10977130900005.064;9307098739582.143;59.29858415625;65.53228032812501;Q;17040.0
2020-11-13;;9307098739582.143;46.78701890625;59.29858415625;N;
2020-11-14;;9307098739582.143;16.47945621875;59.29858415625;N;
2020-11-15;11345625700475.973;10977130900005.064;6.7373383125;59.29858415625;Q;15880.0
2020-11-16;;10977130900005.064;90.087344796875;59.29858415625;N;
2020-11-17;13510472316616.766;11345625700475.973;63.72684553125;59.29858415625;Q;14690.0
2020-11-18;;11345625700475.973;59.796208531249995;59.29858415625;N;
2020-11-19;8322183199716.413;11345625700475.973;41.33888431250001;46.78701890625;Q;29330.0
2020-11-20;;11345625700475.973;48.496749671875;48.496749671875;N;
2020-11-21;;11345625700475.973;13.653812749999998;48.496749671875;N;
2020-11-22;;10916327758166.588;11.241212828124999;48.496749671875;N;
2020-11-23;;10916327758166.588;76.20699484375;48.496749671875;N;
2020-11-24;;8322183199716.413;61.794924671874995;48.496749671875;N;
2020-11-25;;8322183199716.413;53.763061390625005;48.496749671875;N;
2020-11-26;;;55.102682531250004;53.763061390625005;N;
2020-11-27;;;84.432153421875;55.102682531250004;N;
2020-11-28;;;24.92625834375;55.102682531250004;N;
2020-11-29;;;25.032598765625004;55.102682531250004;N;
2020-11-30;;;93.267203765625;55.102682531250004;N;
2020-12-01;;;66.053926375;55.102682531250004;N;
2020-12-02;;;72.43946095312499;66.053926375;N;
2020-12-03;;;52.758135906250004;66.053926375;N;
2020-12-04;;;53.324952984375;53.324952984375;N;
2020-12-05;;;15.2008799375;53.324952984375;N;
2020-12-06;;;10.739005890625;53.324952984375;N;
2020-12-07;;;94.531621578125;53.324952984375;N;
2020-12-08;;;99.98904149999998;53.324952984375;N;
2020-12-09;;;85.01206273437501;53.324952984375;N;
2020-12-10;;;66.32540246875;66.32540246875;N;
2020-12-11;;;57.50298520312501;66.32540246875;N;
