;sars_cov2_rna [gc/(d*100000 capita)];median_7d_sars_cov2_rna [gc/(d*100000 capita)];new_cases [1/(d*100000 capita)];median_7d_new_cases [1/(d*100000 capita)];quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}];flow [m^3/d]
2020-10-03;;;3.6363246363636366;;;
2020-10-05;;;7.2724876181818185;;;
2020-10-07;;;14.545296890909091;;;
2020-10-08;;;9.09087009090909;;;
2020-10-09;;;16.621668290909092;;;
2020-10-12;;;9.090730763636364;;;
2020-10-13;;;10.908973909090909;9.09087009090909;;
2020-10-14;;;10.90899058181818;10.908973909090909;;
2020-10-15;;;18.18174018181818;10.90899058181818;;
2020-10-16;;;14.545376545454547;10.90899058181818;;
2020-10-17;;;5.712607745454545;10.90899058181818;;
2020-10-19;;;38.18144289090909;10.90899058181818;;
2020-10-20;;;39.999747763636364;14.545376545454547;;
2020-10-21;;;36.36139861818182;18.18174018181818;;
2020-10-22;;;43.6356816;36.36139861818182;;
2020-10-23;;;47.27235525454545;38.18144289090909;;
2020-10-24;;;12.727272727272728;38.18144289090909;;
2020-10-25;;;12.72715870909091;38.18144289090909;;
2020-10-26;;;61.817399454545466;39.999747763636364;;
2020-10-27;;;63.63473812727273;43.6356816;;
2020-10-28;;;49.34877072727273;47.27235525454545;;
2020-10-29;;;49.179914290909096;49.179914290909096;;
2020-10-30;;;54.54489516363636;49.34877072727273;;
2020-10-31;;;18.181617527272724;49.34877072727273;;14258.0
2020-11-01;;;25.454236545454545;49.34877072727273;;
2020-11-02;;;58.181058854545455;49.34877072727273;;
2020-11-03;;;58.1813122;49.34877072727273;;12630.0
2020-11-04;;;51.16661625454545;51.16661625454545;;
2020-11-05;;;36.36342201818182;51.16661625454545;;12549.0
2020-11-06;;;27.272426290909095;36.36342201818182;;
2020-11-07;;;19.999891745454544;36.36342201818182;;
2020-11-08;;;14.545454545454545;36.36342201818182;;11713.0
2020-11-09;;;54.54541554545455;36.36342201818182;;
2020-11-10;;;39.99937094545455;36.36342201818182;;12570.0
2020-11-11;;;38.27073674545454;36.36342201818182;;
2020-11-12;;;40.25776994545454;38.27073674545454;;12334.0
2020-11-13;;;50.90870985454546;39.99937094545455;;
2020-11-14;;;19.998933763636362;39.99937094545455;;
2020-11-15;;;30.909077218181814;39.99937094545455;;11057.0
2020-11-16;;;67.27214556363636;39.99937094545455;;
2020-11-17;;;58.43962289090909;40.25776994545454;;11793.0
2020-11-18;;;56.3623228;50.90870985454546;;
2020-11-19;;;47.271881;50.90870985454546;;11935.0
2020-11-20;;;45.45303098181818;47.271881;;
2020-11-21;;;30.90872323636364;47.271881;;
2020-11-22;;;16.363392945454546;47.271881;;10545.0
2020-11-23;;;78.18004123636365;47.271881;;
2020-11-24;;;49.090547490909096;47.271881;;10244.0
2020-11-25;;;45.454089290909096;45.454089290909096;;
2020-11-26;;;41.81784183636364;45.45303098181818;;11739.0
2020-11-27;;;41.81774221818182;41.81784183636364;;
2020-11-28;;;27.272526618181814;41.81784183636364;;
2020-11-29;;;23.636022272727274;41.81784183636364;;10822.0
2020-11-30;;;58.18103598181818;41.81784183636364;;
2020-12-01;;;36.620557090909095;41.81774221818182;;
2020-12-02;;;52.7268895090909;41.81774221818182;;
2020-12-03;;;56.36343065454545;41.81774221818182;;
2020-12-04;;;29.090630436363636;36.620557090909095;;
2020-12-05;;;27.271713727272726;36.620557090909095;;
2020-12-06;;;14.545354218181817;36.620557090909095;;
2020-12-07;;;65.71223441818181;36.620557090909095;;
2020-12-08;;;39.999568327272726;39.999568327272726;;
2020-12-09;;;41.81688169090909;39.999568327272726;;
2020-12-10;;;56.36226050909091;39.999568327272726;;
2020-12-11;;;36.36343570909091;39.999568327272726;;
2020-12-12;;;29.090669436363637;39.999568327272726;;
2020-12-13;;;19.998986454545452;39.999568327272726;;
2020-12-14;;;62.33384447272728;39.999568327272726;;
2020-12-15;;;42.07583487272727;41.81688169090909;;
2020-12-16;;;63.63571474545455;42.07583487272727;;
2020-12-17;;;43.6348812;42.07583487272727;;
2020-12-18;;;42.33209305454545;42.33209305454545;;
2020-12-19;;;27.27248761818182;42.33209305454545;;
2020-12-20;;;10.908976890909091;42.33209305454545;;
2020-12-21;;;54.54464758181818;42.33209305454545;;
2020-12-22;;;34.54521281818182;42.33209305454545;;
2020-12-23;;;30.90867590909091;34.54521281818182;;
2020-12-24;;;21.81676696363636;30.90867590909091;;
2020-12-25;;;21.817910309090912;27.27248761818182;;
2020-12-26;;;9.090708436363638;21.817910309090912;;
2020-12-27;;;12.72628449090909;21.817910309090912;;
2020-12-28;;;36.36293407272728;21.817910309090912;;
2020-12-29;;;27.272434927272723;21.817910309090912;;
2020-12-30;;;21.817792836363637;21.817792836363637;;
2020-12-31;;;29.08932543636364;21.817910309090912;;
2021-01-01;;;16.621663345454543;21.817792836363637;;
2021-01-02;;;31.68316376363636;27.272434927272723;;
2021-01-04;;;50.997961836363636;29.08932543636364;;
2021-01-05;;;31.42477887272727;29.08932543636364;;
2021-01-06;;;23.636123981818184;29.08932543636364;;
2021-01-07;;;31.166947890909093;31.166947890909093;;
2021-01-08;;;22.333379490909092;31.166947890909093;;
2021-01-09;;;30.908982654545454;31.166947890909093;;
2021-01-11;;;14.54414001818182;30.908982654545454;;
2021-01-12;;;32.98403787272728;30.908982654545454;;
2021-01-13;;;23.636023654545454;23.636123981818184;;
2021-01-14;;;16.363536036363637;23.636023654545454;;
2021-01-15;;;21.032148836363636;22.333379490909092;;
2021-01-16;;;32.72626945454545;23.636023654545454;;
2021-01-18;;;39.999359036363636;23.636023654545454;;
2021-01-19;;;19.999264727272728;23.636023654545454;;
2021-01-20;;;27.530536218181815;23.636023654545454;;
2021-01-21;;;21.81798116363636;21.81798116363636;;
2021-01-22;;;18.1814782;21.81798116363636;;
2021-01-23;;;2.334406727272727;21.81798116363636;;
2021-01-25;;;29.090215436363636;21.81798116363636;;
2021-01-26;;;7.2726190181818176;19.999264727272728;;
2021-01-28;;;12.98523469090909;18.1814782;;
2021-01-29;;;19.999799345454544;18.1814782;;
2021-01-30;;;14.545139872727274;14.545139872727274;;
2021-01-31;;;3.636224309090909;12.98523469090909;;
2021-02-01;;;14.545338363636365;14.545139872727274;;27247.0
2021-02-02;;;7.272713581818182;12.98523469090909;;22418.0
2021-02-03;;;16.45261418181818;14.545139872727274;;23500.0
2021-02-04;;;18.270762054545454;14.545338363636365;;16106.0
2021-02-05;;;21.817985654545453;14.545338363636365;;17940.0
2021-02-06;;;14.545240199999999;14.545338363636365;;18051.0
2021-02-07;;;;;;44323.0
2021-02-08;;;19.999598690909092;16.45261418181818;;20689.0
2021-02-09;;;18.181736036363635;18.181736036363635;;17437.0
2021-02-10;;;5.4544177454545455;18.181736036363635;;17563.0
2021-02-11;;;12.7271334;18.181736036363635;;15132.0
2021-02-12;;;;;;14590.0
2021-02-13;;;;;;13758.0
2021-02-14;;;;;;13510.0
2021-02-15;;;;;;14156.0
2021-02-16;;;7.271752727272728;14.545240199999999;;15320.0
2021-02-17;;;5.454531763636363;12.7271334;;16954.0
2021-02-18;;;;;;13688.0
2021-02-19;;;;;;13801.0
2021-02-20;;;;;;13564.0
2021-02-21;;;;;;13081.0
2021-02-22;;;;;;13506.0
2021-02-23;;;;;;13173.0
2021-02-24;;;;;;15639.0
2021-02-25;;;9.090808763636362;9.090808763636362;;14831.0
2021-02-26;;;10.908890254545454;9.090808763636362;;14281.0
2021-02-27;;;;;;13221.0
2021-02-28;;;;;;12856.0
2021-03-01;;;;;;14355.0
2021-03-02;;;9.090895399999999;9.090808763636362;;13096.0
2021-03-03;;;5.454506454545454;9.090808763636362;;13580.0
2021-03-04;;;12.727190490909091;9.090808763636362;;13462.0
2021-03-05;;;10.909067127272726;9.090895399999999;;19078.0
2021-03-06;;;5.454537527272727;9.090895399999999;;12519.0
2021-03-07;;;7.272680345454546;9.090895399999999;;12751.0
2021-03-08;;;27.27207838181818;9.090895399999999;;18386.0
2021-03-09;;;16.363274763636365;10.909067127272726;;13072.0
2021-03-10;;;9.090608109090908;10.909067127272726;;12779.0
2021-03-11;;;10.908798563636365;10.908798563636365;;15246.0
2021-03-12;;;7.361899181818181;9.090608109090908;;16027.0
2021-03-13;;;;;;14086.0
2021-03-14;;;;;;25611.0
2021-03-15;;;;;;39790.0
2021-03-16;;;;;;30677.0
2021-03-17;;;;;;23647.0
2021-03-18;;;14.545446618181819;10.908798563636365;;14407.0
2021-03-19;;;18.18170118181818;14.545446618181819;;13477.0
2021-03-20;;;;;;12025.0
2021-03-21;;;;;;12159.0
2021-03-22;;;10.909012909090908;10.909012909090908;;13984.0
2021-03-23;;;13.074506927272727;10.909012909090908;;13237.0
2021-03-24;;;;;;12822.0
2021-03-25;;;16.363408327272726;13.074506927272727;;13189.0
2021-03-26;;;9.090694745454545;13.074506927272727;;14879.0
2021-03-27;;;;;;18359.0
2021-03-28;;;9.348871054545453;13.074506927272727;;13237.0
2021-03-29;;;23.63611356363636;13.074506927272727;;13480.0
2021-03-30;;;18.181503509090906;13.074506927272727;;13676.0
2021-03-31;;;25.712454727272725;16.363408327272726;;14009.0
2021-04-01;;;31.166858690909095;18.181503509090906;;13915.0
2021-04-02;;;10.908063672727273;18.181503509090906;;12804.0
2021-04-03;;;14.545346290909093;18.181503509090906;;12615.0
2021-04-04;;;;;;12266.0
2021-04-05;;;12.727159672727275;18.181503509090906;;14322.0
2021-04-06;;;34.54519189090909;18.181503509090906;;14476.0
2021-04-07;;;21.81784510909091;21.81784510909091;;15218.0
2021-04-08;;;33.2426344;21.81784510909091;;12610.0
2021-04-09;;;16.621476381818184;16.621476381818184;;12874.0
2021-04-10;;;18.697942763636366;18.697942763636366;;12379.0
2021-04-11;;;21.81804249090909;21.81784510909091;;13620.0
2021-04-12;;;18.43996710909091;21.81784510909091;;18512.0
2021-04-13;;;14.803508909090908;18.697942763636366;;15146.0
2021-04-14;;;;;;13746.0
2021-04-15;;;54.5444772909091;18.697942763636366;;13348.0
2021-04-16;;;30.908994981818182;18.697942763636366;;12320.0
2021-04-17;;;14.545393927272729;18.697942763636366;;12627.0
2021-04-18;;;;;;12227.0
2021-04-19;;;29.089445236363634;21.81804249090909;;12894.0
2021-04-20;;;19.997836563636366;19.997836563636366;;12761.0
2021-04-21;;;23.725535545454544;23.725535545454544;;12811.0
2021-04-22;;;30.907801690909096;29.089445236363634;;12786.0
2021-04-23;;;18.17980270909091;23.725535545454544;;13058.0
2021-04-24;;;;;;12334.0
