;sars_cov2_rna [gc/(d*100000 capita)];median_7d_sars_cov2_rna [gc/(d*100000 capita)];new_cases [1/(d*100000 capita)];median_7d_new_cases [1/(d*100000 capita)];quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}];flow [m^3/d]
2020-10-01;;;15.412238725000002;;;89034
2020-10-02;;;12.288706358333334;;;192690
2020-10-03;;;10.264173733333335;;;151343
2020-10-04;;;14.788744620833333;;;95284
2020-10-05;;;20.528252191666667;;;88350
2020-10-06;;;20.2920605375;;;107488
2020-10-07;1817529000000.0;;30.7589567375;15.412238725000002;D;86549
2020-10-08;;;31.852117312500003;20.2920605375;N;81046
2020-10-09;;;29.52223310833333;20.528252191666667;N;78652
2020-10-10;1910375000000.0;;33.76171309166667;29.52223310833333;D;112375
2020-10-11;;;18.130399341666664;29.52223310833333;N;73809
2020-10-12;;;30.1061702;30.1061702;N;75735
2020-10-13;;1863952000000.0;38.6282125125;30.7589567375;N;73141
2020-10-14;2121093333333.3333;2015734166666.6667;50.31590441666666;31.852117312500003;D;72310
2020-10-15;;2015734166666.6667;57.98478207916666;33.76171309166667;N;73250
2020-10-16;;2015734166666.6667;46.275489287499994;38.6282125125;N;71752
2020-10-17;11749210000000.0;6935151666666.667;45.464940425;45.464940425;Q;68442
2020-10-18;;6935151666666.667;56.562748054166676;46.275489287499994;N;65963
2020-10-19;;6935151666666.667;58.15883462083333;50.31590441666666;N;59911
2020-10-20;;6935151666666.667;89.54184215833332;56.562748054166676;N;71635
2020-10-21;4162282666666.6665;7955746333333.333;89.2628490125;57.98478207916666;Q;70948
2020-10-22;;7955746333333.333;105.31801975833334;58.15883462083333;N;169197
2020-10-23;;7955746333333.333;125.5704201;89.2628490125;N;451546
2020-10-24;6423164000000.0;5292723333333.334;80.55283759166666;89.2628490125;Q;133584
2020-10-25;;5292723333333.334;75.4973477875;89.2628490125;N;209481
2020-10-26;;5292723333333.334;132.5255863708333;89.54184215833332;N;321157
2020-10-27;;5292723333333.334;131.42336920833333;105.31801975833334;N;134083
2020-10-28;18818696500000.0;12620930250000.0;165.47382710833332;125.5704201;Q;146449
2020-10-29;;12620930250000.0;156.5292112125;131.42336920833333;N;102401
2020-10-30;;12620930250000.0;143.1285909625;132.5255863708333;N;106477
